,file_name,pcode,pname,win1,win2,hasbd
1429,8a818085796b3537017977e39d771fe7.pdf,SNZB-LKJT-D20213-0219 ,临矿集团邱集煤矿调度指挥中心升级改造项目   ,,,0
1430,8a818085796b3537017977e6f81d203b.pdf,SNZB-LKJT-D20213-0233 ,日照罗克兰国际物流有限公司办公楼中央空调招标采,,,0
1431,8a818085796b35370179794e47683959.pdf,SNZB-LKJT-D20213-0185 ,临矿集团新上海一号煤矿微震监测系统招标采购项目 ,,,0
1432,8a818085796b353701797950ef873980.pdf,SNZB-LKJT-D20213-0186 ,临矿集团新上海一号煤矿主通风机扩容改造项目 ,,,0
1433,8a818085796b35370179795388e639a5.pdf,SNZB-LKJT-D20213-0188 ,临矿集团新上海一号煤矿调度大屏招标采购项目 ,,,0
1434,8a818085796b3537017979556e5139dc.pdf,SNZB-LKJT-D20213-0190 ,临矿集团新上海一号煤矿气体测定器及便携仪智能发,,,0
1435,8a818085796b353701797cee0a064d9e.pdf, SNZB-XWGX-D20202-0354   ,  新矿集团导轨式液压回转钻机设备及配件年度招标采购（二次）（二次）   ,河北菲克森煤矿机械制造有限公司,江苏中煤矿山设备有限公司,0
1436,8a818085796b353701797d25d40c53ca.pdf, SNZB-XKJS-D20212-0164   ,  新汶矿业集团有限责任公司技术服务分公司单体液压支柱维修（含悬浮液,泰安市泰洁科工贸有限责任公司,山东省泰辉新业矿山工程有限公司,0
1437,8a818085796b353701797d6630c959e6.pdf, SNZB-XKFW-D20212-0163   ,  新汶矿业集团有限责任公司生产服务分公司 液压支架电液控、变频器、,郑州煤机液压电控有限公司,MARCO(北京)自动控制系统开发有限公司,0
1438,8a818085796b35370179826af4e67e1d.pdf, SNZB-XWGX-D20212-0133   ,  22021 年新矿集团矿用封控器及附件入围采购（二次）   ,宿州市金鼎安全技术股份有限公司,山东金达矿山设备有限公司,0
1439,8a818085796b3537017987610a2439d0.pdf, SNZB-NMNY-D20212-0107   ,  鄂托克前旗长城五号矿业有限公司压风机维修保养项目（二次）   ,泰安硕远机电设备有限公司,宁夏灵州矿山装备科技有限公司,0
1440,8a818085796b3537017988ff8d2b4c91.pdf,SNZB-SNWZ-D20213-0126 ,2021 年山东能源第三批新矿、淄矿集团湿式除, 扬州引江矿业设备有限公司,山东天河科技股份有限公司,1
1441,8a818085796b353701798906629f4cfb.pdf,SNZB-SNWZ-D20213-0135 ,2021 年山东能源第三批龙矿集团全液压坑道钻, 山东祥德机电有限公司,中煤科工集团西安研究院有限公司,1
1442,8a818085796b353701798907d8b64d12.pdf,SNZB-SNWZ-D20213-0138 ,2021 年山东能源第三批淄矿集团真空组合馈电, 山东开创电气有限公司,淮南万泰电子股份有限公司,1
1443,8a818085796b353701799c1b3d961570.pdf,SNZB-XWGX-D20202-0517   ,2020 年新矿集团大宗物资（潜水泵深井泵及配件、后勤服务用泵及配件、地,河北鼎元泵业有限公司,淄博鸿亚实业有限公司,1
1444,8a818085796b353701799c3245f216bf.pdf, SNZB-NMNY-D20212-0092   ,  鄂托克前旗长城煤矿有限责任公司 180 万吨改扩建消防设计专篇（二次）   ,内蒙古筑友建筑设计咨询有限责任公司,北京中奥建工程设计有限公司,0
1445,8a818085796b353701799d5e45692313.pdf,SNZB-LKLX-D20213-0181 ,临矿集团鲁西煤矿矸石棚、带式输送机栈桥,,山东方大工程有限责任公司,0
1446,8a818085799e19ce0179a2bc428b2454.pdf,SNZB-XWGX-D20212-0152   ,新矿集团汽车、焊网机招标采购   ,新泰市特顺汽车销售服务有限公司,泰安瑞铃汽车销售服务有限公司,0
1447,8a818085799e19ce0179a7479a4446c5.pdf,SNZB-LKJT-D20213-0201 ,山东玻纤集团 10 万吨玻璃纤维高端制造生产线现场,,,0
