,Unnamed: 0,url,url_pdf
49,49,http://snzb.minegoods.com/sdny_winningperson/2022-10-28/16560.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180858414de9401841d6dd8542e87&page=1
50,50,http://snzb.minegoods.com/sdny_winningperson/2022-10-28/16559.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180818414d92201841d6ab8ef033b&page=1
51,51,http://snzb.minegoods.com/sdny_winningperson/2022-10-28/16557.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180818414d92201841d59eb37002d&page=1
52,52,http://snzb.minegoods.com/sdny_winningperson/2022-10-28/16556.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180858414de9401841d5667752a31&page=1
53,53,http://snzb.minegoods.com/sdny_winningperson/2022-10-28/16555.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180858414de9401841d53b6d929e0&page=1
54,54,http://snzb.minegoods.com/sdny_winningperson/2022-10-28/16551.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180838414d89401841d2b62c90d3c&page=1
55,55,http://snzb.minegoods.com/sdny_winningperson/2022-10-28/16550.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180838414d89401841d269d190ce4&page=1
56,56,http://snzb.minegoods.com/sdny_winningperson/2022-10-28/16549.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180858414de9401841d2150832433&page=1
57,57,http://snzb.minegoods.com/sdny_winningperson/2022-10-28/16548.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180848414d9ab01841d1c75cb7039&page=1
58,58,http://snzb.minegoods.com/sdny_winningperson/2022-10-28/16547.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180818414d92201841d159a6d7c75&page=1
59,59,http://snzb.minegoods.com/sdny_winningperson/2022-10-28/16546.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180818414d92201841c78aaf27412&page=1
60,60,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16543.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180848414d9ab018419bb875050ca&page=1
61,61,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16534.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180838414d8940184181d7e273559&page=1
